"simulation","mean_words_per_extracted_text_block"
352,369.027777777778
353,278.694444444444
354,335.027777777778
355,352.916666666667
356,304.888888888889
357,295.111111111111
358,333.944444444444
359,304.222222222222
360,341.111111111111
361,311.805555555556
362,404.888888888889
363,390.888888888889
364,293.722222222222
365,248.138888888889
366,317.611111111111
367,367.75
368,314.027777777778
369,348.194444444444
370,277.722222222222
371,358.527777777778
372,311.638888888889
373,287.972222222222
374,327.888888888889
375,320.055555555556
376,258.305555555556
377,257.722222222222
378,215.027777777778
379,362.027777777778
380,292.222222222222
381,301.527777777778
382,299.166666666667
383,274.888888888889
384,280.5
385,326.5
386,298.888888888889
387,343.75
388,345.611111111111
389,361.972222222222
390,272.444444444444
391,322
392,388.694444444444
393,289.944444444444
394,322.888888888889
395,267.166666666667
396,391.444444444444
397,325.472222222222
398,351.611111111111
399,266.388888888889
400,276.777777777778
401,320.611111111111
402,274.083333333333
403,335.361111111111
404,321.027777777778
405,249.944444444444
406,236.083333333333
407,205.611111111111
408,278.972222222222
409,301.388888888889
410,329.5
411,278.638888888889
412,325.833333333333
413,284.138888888889
414,329.944444444444
415,280.166666666667
416,281.111111111111
417,359.722222222222
418,242
419,279.638888888889
420,287.777777777778
421,364.083333333333
422,310.305555555556
423,277
424,335.361111111111
425,340.333333333333
426,241.222222222222
427,344.277777777778
428,357.916666666667
429,262.5
430,264.944444444444
431,201.666666666667
432,318.083333333333
433,299.694444444444
434,242
435,388.777777777778
436,377
437,327.527777777778
438,282
439,277.833333333333
440,344.138888888889
441,284.027777777778
442,305
443,313.666666666667
444,380.25
445,298.444444444444
446,367.611111111111
447,322.527777777778
448,372
449,410.111111111111
450,300.472222222222
451,372.25
452,302.5
453,165.638888888889
454,226.5
455,332.888888888889
456,276.916666666667
457,268.944444444444
458,358.527777777778
459,364.916666666667
460,324.055555555556
461,252.444444444444
462,323.555555555556
463,340.777777777778
464,270.111111111111
465,323.916666666667
466,332.666666666667
467,354.166666666667
468,243.611111111111
469,319.361111111111
470,353.694444444444
471,234.25
472,305.777777777778
473,367.444444444444
474,278.611111111111
475,247.944444444444
476,267.472222222222
477,289.138888888889
478,334.166666666667
479,326.888888888889
480,315.944444444444
481,327.416666666667
482,311.972222222222
483,298.555555555556
484,338.166666666667
485,274.944444444444
486,366.277777777778
487,311.111111111111
488,295.333333333333
489,248.777777777778
490,339.694444444444
491,329.5
492,289.861111111111
493,308.055555555556
494,439.805555555556
495,366.805555555556
496,321.694444444444
497,319.361111111111
498,276.583333333333
499,250.333333333333
500,301.305555555556
501,297.555555555556
502,355.694444444444
503,284.527777777778
504,262.611111111111
505,329.388888888889
506,280.5
507,336.083333333333
508,367.694444444444
509,260.555555555556
510,309.222222222222
511,352.416666666667
512,304.416666666667
513,299.027777777778
514,323.555555555556
515,308.555555555556
516,278.833333333333
517,270.611111111111
518,343.138888888889
519,299.472222222222
520,346.333333333333
521,273.305555555556
522,295.972222222222
523,332.972222222222
524,300.111111111111
525,266.388888888889
526,255.638888888889
527,301.694444444444
528,269.944444444444
529,298.888888888889
530,320.555555555556
531,383.194444444444
532,294.166666666667
533,317.75
534,261.666666666667
535,336.555555555556
536,299.694444444444
537,227.666666666667
538,248.861111111111
539,250.694444444444
540,291.111111111111
541,251.611111111111
542,342.305555555556
543,307.638888888889
544,279.583333333333
545,257.277777777778
546,322.805555555556
547,292.083333333333
548,358.805555555556
549,320.722222222222
550,287.25
551,343.055555555556
552,352.305555555556
553,291.111111111111
554,305.805555555556
555,305.75
556,324.5
557,356.083333333333
558,309.416666666667
559,283.611111111111
560,238.444444444444
561,277.138888888889
562,307.444444444444
563,253.583333333333
564,354.916666666667
565,334.777777777778
566,280.166666666667
567,285.5
568,321.527777777778
569,211.972222222222
570,315.666666666667
571,261.805555555556
572,352.861111111111
573,307.166666666667
574,349.5
575,286.277777777778
576,316.583333333333
577,267.111111111111
578,274.694444444444
579,221.861111111111
580,371.916666666667
581,264.972222222222
582,266.694444444444
583,323
584,257.444444444444
585,300.361111111111
586,335.5
587,257.611111111111
588,379.527777777778
589,331.111111111111
590,284.361111111111
591,283.472222222222
592,310.944444444444
593,331.416666666667
594,234
595,330.333333333333
596,252.416666666667
597,233.944444444444
598,331.388888888889
599,241.472222222222
600,306.916666666667
601,313.138888888889
602,311.166666666667
603,300.027777777778
604,312.472222222222
605,259.638888888889
606,330.972222222222
607,308.416666666667
608,329.638888888889
609,256.972222222222
610,364.833333333333
611,296.888888888889
612,294.333333333333
613,304.805555555556
614,278.972222222222
615,330.916666666667
616,324.694444444444
617,307.805555555556
618,276.944444444444
619,326.388888888889
620,324.694444444444
621,270.388888888889
622,205.111111111111
623,290.055555555556
624,251.555555555556
625,383.777777777778
626,242.638888888889
627,200
628,282.333333333333
629,354.222222222222
630,367.638888888889
631,297.111111111111
632,296.583333333333
633,302.083333333333
634,309.805555555556
635,344.472222222222
636,325.638888888889
637,289.083333333333
638,333.25
639,271.611111111111
640,403.555555555556
641,304.027777777778
642,281.555555555556
643,301.055555555556
